lat,lon
6.9847,-78.0407
3.276,-78.291
-1.97,-81.98
-5.98,-81.98
-14.81,-77.70
-18.70,-72.49
-37.03,-74.90
-43.314,-74.820
-43.812,-73.336
-44.227,-73.416
-44.531,-72.669
-44.754,-72.817
-44.913,-73.103
-47.4908,-73.1662
-47.6760,-73.7100
-48.0253,-73.5974
-48.601,-72.881
-49.807,-73.710
-51.4142,-73.4875
-51.7785,-72.5468
-52.540,-72.941
-52.887,-71.351
-53.427,-72.856
-54.060,-70.952
-53.457,-70.422
-54.9102,-69.3883
-54.9756,-68.9694
-54.8841,-68.2402
-54.8920,-67.7664
-54.9252,-67.1581
-55.1377,-66.1858
-54.704,-64.753
-52.64,-68.07
-47.12,-65.32
-22.49,-38.94
-7.85,-32.89
-1.50,-35.82
0.327,-46.631
-0.5445,-49.4495
-1.9916,-49.9603
-2.0533,-51.9571
-2.604,-53.020
-0.905,-53.168
-0.803,-54.679
-1.339,-56.110
-3.982,-56.459
-7.1983,-62.9984
-6.955,-64.841
-8.468,-67.393
-6.849,-73.213
-8.1343,-74.8341
-5.431,-75.690
-4.5425,-77.3362
-4.077,-77.970
-3.476,-77.945
-2.936,-77.465
-2.6776,-77.5690
0.0772,-75.5859
1.7862,-72.6577
4.38912,-69.77692
5.0290,-67.7932
6.6561,-65.9640
6.677,-63.342
6.7026,-62.1830
6.0142,-61.8723
6.0334,-61.0689
9.152,-61.867
10.4763,-62.8143
10.365,-62.056
10.9041,-61.7418
10.721,-63.894
10.777,-67.786
12.321,-69.719
12.225,-71.060
12.777,-71.461
12.506,-72.345
10.903,-76.025
8.8712,-77.2977
