locality_a,locality_b,transit_time_mins
gb--london-central-london,gb--london-inner-east,24
gb--london-central-london,gb--london-inner-north-east,26
gb--london-central-london,gb--london-inner-north,20
gb--london-central-london,gb--london-inner-north-west,26
gb--london-central-london,gb--london-inner-west,15
gb--london-central-london,gb--london-inner-south-west,26
gb--london-central-london,gb--london-inner-south,18
gb--london-central-london,gb--london-inner-south-east,28
gb--london-inner-east,gb--london-inner-north-east,18
gb--london-inner-north-east,gb--london-inner-north,18
gb--london-inner-north,gb--london-inner-north-west,18
gb--london-inner-north-west,gb--london-inner-west,22
gb--london-inner-west,gb--london-inner-south-west,12
gb--london-inner-south-west,gb--london-inner-south,18
gb--london-inner-south,gb--london-inner-south-east,22
gb--london-inner-south-east,gb--london-inner-east,20
gb--london-inner-east,gb--london-inner-north,28
gb--london-inner-east,gb--london-inner-north-west,35
gb--london-inner-east,gb--london-inner-west,40
gb--london-inner-east,gb--london-inner-south-west,45
gb--london-inner-east,gb--london-inner-south,30
gb--london-inner-north-east,gb--london-inner-north-west,24
gb--london-inner-north-east,gb--london-inner-west,38
gb--london-inner-north-east,gb--london-inner-south-west,44
gb--london-inner-north-east,gb--london-inner-south,31
gb--london-inner-north-east,gb--london-inner-south-east,28
gb--london-inner-north,gb--london-inner-west,35
gb--london-inner-north,gb--london-inner-south-west,45
gb--london-inner-north,gb--london-inner-south,35
gb--london-inner-north,gb--london-inner-south-east,35
gb--london-inner-north-west,gb--london-inner-south-west,30
gb--london-inner-north-west,gb--london-inner-south,36
gb--london-inner-north-west,gb--london-inner-south-east,48
gb--london-inner-west,gb--london-inner-south,26
gb--london-inner-west,gb--london-inner-south-east,40
gb--london-inner-south-west,gb--london-inner-south-east,40
gb--london-essex-outer-east,gb--london-central-london,40
gb--london-essex-outer-north-east,gb--london-central-london,35
gb--london-hertfordshire-outer-north,gb--london-central-london,35
gb--london-hertfordshire-buckinghamshire-outer-north-west,gb--london-central-london,45
gb--london-buckinghamshire-berkshire-outer-west,gb--london-central-london,45
gb--london-surrey-outer-south-west,gb--london-central-london,55
gb--london-surrey-outer-south,gb--london-central-london,50
gb--london-kent-outer-south-east,gb--london-central-london,40
gb--london-essex-outer-east,gb--london-inner-east,26
gb--london-essex-outer-east,gb--london-inner-north-east,28
gb--london-essex-outer-east,gb--london-inner-south-east,35
gb--london-essex-outer-north-east,gb--london-inner-north-east,16
gb--london-essex-outer-north-east,gb--london-inner-east,24
gb--london-essex-outer-north-east,gb--london-inner-north,30
gb--london-hertfordshire-outer-north,gb--london-inner-north,20
gb--london-hertfordshire-outer-north,gb--london-inner-north-west,18
gb--london-hertfordshire-outer-north,gb--london-inner-north-east,20
gb--london-hertfordshire-buckinghamshire-outer-north-west,gb--london-inner-north-west,28
gb--london-hertfordshire-buckinghamshire-outer-north-west,gb--london-inner-west,35
gb--london-hertfordshire-buckinghamshire-outer-north-west,gb--london-inner-north,40
gb--london-buckinghamshire-berkshire-outer-west,gb--london-inner-west,26
gb--london-buckinghamshire-berkshire-outer-west,gb--london-inner-south-west,30
gb--london-buckinghamshire-berkshire-outer-west,gb--london-inner-north-west,28
gb--london-surrey-outer-south-west,gb--london-inner-south-west,28
gb--london-surrey-outer-south-west,gb--london-inner-south,45
gb--london-surrey-outer-south-west,gb--london-inner-west,40
gb--london-surrey-outer-south,gb--london-inner-south,35
gb--london-surrey-outer-south,gb--london-inner-south-west,35
gb--london-surrey-outer-south,gb--london-inner-south-east,40
gb--london-kent-outer-south-east,gb--london-inner-south-east,20
gb--london-kent-outer-south-east,gb--london-inner-south,35
gb--london-kent-outer-south-east,gb--london-inner-east,24
gb--london-essex-outer-east,gb--london-essex-outer-north-east,22
gb--london-essex-outer-east,gb--london-kent-outer-south-east,35
gb--london-essex-outer-east,gb--london-hertfordshire-outer-north,40
gb--london-essex-outer-east,gb--london-surrey-outer-south,55
gb--london-essex-outer-north-east,gb--london-hertfordshire-outer-north,26
gb--london-essex-outer-north-east,gb--london-kent-outer-south-east,40
gb--london-essex-outer-north-east,gb--london-hertfordshire-buckinghamshire-outer-north-west,50
gb--london-hertfordshire-outer-north,gb--london-hertfordshire-buckinghamshire-outer-north-west,40
gb--london-hertfordshire-outer-north,gb--london-buckinghamshire-berkshire-outer-west,45
gb--london-hertfordshire-buckinghamshire-outer-north-west,gb--london-buckinghamshire-berkshire-outer-west,24
gb--london-hertfordshire-buckinghamshire-outer-north-west,gb--london-surrey-outer-south-west,50
gb--london-buckinghamshire-berkshire-outer-west,gb--london-surrey-outer-south-west,35
gb--london-buckinghamshire-berkshire-outer-west,gb--london-surrey-outer-south,45
gb--london-surrey-outer-south-west,gb--london-surrey-outer-south,35
gb--london-surrey-outer-south-west,gb--london-kent-outer-south-east,55
gb--london-surrey-outer-south,gb--london-kent-outer-south-east,35
gb--london-central-london,gb--essex-thurrock,45
gb--london-central-london,gb--hertfordshire-essex-east-hertfordshire,55
gb--london-central-london,gb--hertfordshire-bedfordshire-st-albans-luton,50
gb--london-central-london,gb--buckinghamshire-south-buckinghamshire,60
gb--london-central-london,gb--berkshire-windsor-slough-maidenhead,55
gb--london-central-london,gb--berkshire-reading,48
gb--london-central-london,gb--surrey-west-surrey,65
gb--london-central-london,gb--surrey-west-sussex-east-surrey,57
gb--london-central-london,gb--kent-north-west-kent,50
gb--london-central-london,gb--kent-south-west-kent,57
gb--london-central-london,gb--kent-medway-maidstone,55
gb--london-central-london,gb--essex-chelmsford,39
gb--london-central-london,gb--essex-southend,65
gb--london-central-london,gb--kent-ashford,62
gb--london-central-london,gb--essex-colchester,63
gb--london-central-london,gb--cambridgeshire-huntingdonshire,67
gb--london-central-london,gb--buckinghamshire-milton-keynes,59
gb--essex-thurrock,gb--london-essex-outer-east,24
gb--essex-thurrock,gb--london-essex-outer-north-east,35
gb--essex-thurrock,gb--london-kent-outer-south-east,28
gb--essex-thurrock,gb--london-inner-east,30
gb--essex-thurrock,gb--london-inner-north-east,40
gb--essex-thurrock,gb--london-inner-south-east,40
gb--essex-thurrock,gb--kent-north-west-kent,26
gb--essex-thurrock,gb--kent-medway-maidstone,35
gb--essex-thurrock,gb--essex-southend,35
gb--essex-thurrock,gb--essex-chelmsford,30
gb--essex-chelmsford,gb--london-essex-outer-east,35
gb--essex-chelmsford,gb--london-essex-outer-north-east,35
gb--essex-chelmsford,gb--london-inner-east,35
gb--essex-chelmsford,gb--london-inner-north-east,45
gb--essex-chelmsford,gb--essex-southend,35
gb--essex-chelmsford,gb--essex-colchester,27
gb--essex-chelmsford,gb--hertfordshire-essex-east-hertfordshire,45
gb--hertfordshire-essex-east-hertfordshire,gb--london-essex-outer-north-east,28
gb--hertfordshire-essex-east-hertfordshire,gb--london-hertfordshire-outer-north,30
gb--hertfordshire-essex-east-hertfordshire,gb--london-hertfordshire-buckinghamshire-outer-north-west,45
gb--hertfordshire-essex-east-hertfordshire,gb--london-inner-north-east,35
gb--hertfordshire-essex-east-hertfordshire,gb--london-inner-north,40
gb--hertfordshire-essex-east-hertfordshire,gb--london-inner-north-west,40
gb--hertfordshire-essex-east-hertfordshire,gb--essex-thurrock,50
gb--hertfordshire-essex-east-hertfordshire,gb--essex-colchester,65
gb--hertfordshire-essex-east-hertfordshire,gb--cambridgeshire-huntingdonshire,55
gb--hertfordshire-essex-east-hertfordshire,gb--hertfordshire-bedfordshire-st-albans-luton,40
gb--hertfordshire-essex-east-hertfordshire,gb--buckinghamshire-south-buckinghamshire,55
gb--hertfordshire-bedfordshire-st-albans-luton,gb--london-essex-outer-north-east,45
gb--hertfordshire-bedfordshire-st-albans-luton,gb--london-hertfordshire-outer-north,35
gb--hertfordshire-bedfordshire-st-albans-luton,gb--london-hertfordshire-buckinghamshire-outer-north-west,28
gb--hertfordshire-bedfordshire-st-albans-luton,gb--london-inner-north,45
gb--hertfordshire-bedfordshire-st-albans-luton,gb--london-inner-north-west,28
gb--hertfordshire-bedfordshire-st-albans-luton,gb--london-inner-west,45
gb--hertfordshire-bedfordshire-st-albans-luton,gb--cambridgeshire-huntingdonshire,55
gb--hertfordshire-bedfordshire-st-albans-luton,gb--buckinghamshire-milton-keynes,40
gb--hertfordshire-bedfordshire-st-albans-luton,gb--buckinghamshire-south-buckinghamshire,35
gb--hertfordshire-bedfordshire-st-albans-luton,gb--berkshire-windsor-slough-maidenhead,50
gb--buckinghamshire-south-buckinghamshire,gb--london-hertfordshire-outer-north,45
gb--buckinghamshire-south-buckinghamshire,gb--london-hertfordshire-buckinghamshire-outer-north-west,30
gb--buckinghamshire-south-buckinghamshire,gb--london-buckinghamshire-berkshire-outer-west,35
gb--buckinghamshire-south-buckinghamshire,gb--london-inner-north,60
gb--buckinghamshire-south-buckinghamshire,gb--london-inner-north-west,45
gb--buckinghamshire-south-buckinghamshire,gb--london-inner-west,45
gb--buckinghamshire-south-buckinghamshire,gb--buckinghamshire-milton-keynes,50
gb--buckinghamshire-south-buckinghamshire,gb--berkshire-windsor-slough-maidenhead,35
gb--buckinghamshire-south-buckinghamshire,gb--berkshire-reading,50
gb--buckinghamshire-south-buckinghamshire,gb--london-surrey-outer-south-west,55
gb--berkshire-windsor-slough-maidenhead,gb--london-hertfordshire-buckinghamshire-outer-north-west,35
gb--berkshire-windsor-slough-maidenhead,gb--london-buckinghamshire-berkshire-outer-west,22
gb--berkshire-windsor-slough-maidenhead,gb--london-surrey-outer-south-west,45
gb--berkshire-windsor-slough-maidenhead,gb--london-inner-north-west,45
gb--berkshire-windsor-slough-maidenhead,gb--london-inner-west,40
gb--berkshire-windsor-slough-maidenhead,gb--london-inner-south-west,45
gb--berkshire-windsor-slough-maidenhead,gb--berkshire-reading,30
gb--berkshire-windsor-slough-maidenhead,gb--surrey-west-surrey,50
gb--berkshire-reading,gb--london-buckinghamshire-berkshire-outer-west,35
gb--berkshire-reading,gb--london-surrey-outer-south-west,55
gb--berkshire-reading,gb--surrey-west-surrey,45
gb--surrey-west-surrey,gb--london-buckinghamshire-berkshire-outer-west,40
gb--surrey-west-surrey,gb--london-surrey-outer-south-west,30
gb--surrey-west-surrey,gb--london-surrey-outer-south,45
gb--surrey-west-surrey,gb--london-inner-west,50
gb--surrey-west-surrey,gb--london-inner-south-west,40
gb--surrey-west-surrey,gb--london-inner-south,55
gb--surrey-west-surrey,gb--surrey-west-sussex-east-surrey,50
gb--surrey-west-sussex-east-surrey,gb--london-surrey-outer-south-west,40
gb--surrey-west-sussex-east-surrey,gb--london-surrey-outer-south,22
gb--surrey-west-sussex-east-surrey,gb--london-kent-outer-south-east,45
gb--surrey-west-sussex-east-surrey,gb--london-inner-south-west,50
gb--surrey-west-sussex-east-surrey,gb--london-inner-south,55
gb--surrey-west-sussex-east-surrey,gb--london-inner-south-east,60
gb--surrey-west-sussex-east-surrey,gb--kent-north-west-kent,50
gb--surrey-west-sussex-east-surrey,gb--kent-south-west-kent,40
gb--surrey-west-sussex-east-surrey,gb--kent-medway-maidstone,55
gb--kent-south-west-kent,gb--london-surrey-outer-south,35
gb--kent-south-west-kent,gb--london-kent-outer-south-east,24
gb--kent-south-west-kent,gb--london-inner-south,55
gb--kent-south-west-kent,gb--london-inner-south-east,40
gb--kent-south-west-kent,gb--kent-north-west-kent,35
gb--kent-south-west-kent,gb--kent-medway-maidstone,40
gb--kent-south-west-kent,gb--kent-ashford,55
gb--kent-north-west-kent,gb--london-kent-outer-south-east,22
gb--kent-north-west-kent,gb--london-essex-outer-east,30
