slug,name,area_of_reference,point_of_reference,lat,lon
au--nsw-sydney-city,AU: NSW: Sydney: City,Redfern,Redfern Park,-33.89462,151.20616
au--nsw-sydney-eastern-suburbs,AU: NSW: Sydney: Eastern Suburbs,Randwick,Prince of Wales Hospital,-33.9184,151.23941
au--nsw-sydney-inner-west,AU: NSW: Sydney: Inner West,Ashfield,Ashfield Train Station,-33.8877,151.1259
au--nsw-sydney-north-shore,AU: NSW: Sydney: North Shore,Gordon,Gordon Train Station,-33.7558,151.1545
au--nsw-sydney-northern-beaches,AU: NSW: Sydney: Northern Beaches,Dee Why,Northern Beaches Council,-33.75131,151.28704
au--nsw-sydney-western-sydney,AU: NSW: Sydney: Western Sydney,Prospect,Prospect Reservoir,-33.8211,150.8929
au--nsw-sydney-the-shire,AU: NSW: Sydney: The Shire,Miranda,Miranda Train Station,-34.0363,151.1028
au--nsw-sydney-the-hills,AU: NSW: Sydney: The Hills,Kellyville,Kellyville Metro Station,-33.71313,150.93512
au--nsw-sydney-south-west-sydney,AU: NSW: Sydney: South-West Sydney,Liverpool,Liverpool Train Station,-33.9245,150.9276
au--nsw-blue-mountains,AU: NSW: Blue Mountains,Katoomba,Katoomba Train Station,-33.7119,150.3112
au--nsw-central-coast,AU: NSW: Central Coast,Gosford,Gosford Train Station,-33.4234,151.3418
au--nsw-wollongong-illawarra,AU: NSW: Wollongong-Illawarra,Wollongong,Wollongong Train Station,-34.427,150.8882
au--nsw-southern-highlands,AU: NSW: Southern Highlands,Bowral,Bowral Train Station,-34.478,150.4167
au--nsw-newcastle-hunter,AU: NSW: Newcastle-Hunter,Maitland,Maitland Train Station,-32.738,151.5521
au--act-nsw-canberra-queanbeyan,AU: ACT/NSW: Canberra-Queanbeyan,Canberra,Australian Parliament House,-35.30756,149.1246
au--nsw-shoalhaven,AU: NSW: Shoalhaven,St Georges Basin,St Georges Basin Post Office,-35.09067,150.59814
au--nsw-far-south-coast,AU: NSW: Far South Coast,Narooma,Narooma Post Office,-36.2183,150.13245
au--nsw-snowy-monaro,AU: NSW: Snowy-Monaro,Cooma,Cooma Post Office,-36.23441,149.12344
au--nsw-mid-coast,AU: NSW: Mid Coast,Nabiac,Nabiac Post Office,-32.09914,152.3795
au--nsw-mid-north-coast,AU: NSW: Mid North Coast,Port Macquarie,Port Macquarie Post Office,-31.43095,152.90735
